volume,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,SSD,hour__0,hour__1,hour__2,hour__3,hour__4,hour__5,hour__6,hour__7,hour__8,hour__9,hour__10,hour__11,hour__12,hour__13,hour__14,hour__15,hour__16,hour__17,hour__18,hour__19,hour__20,hour__21,hour__22,hour__23,minute__0,minute__20,minute__40,weekday__0,weekday__1,weekday__2,weekday__3,weekday__4,weekday__5,weekday__6,workday__1,workday__2,workday__3
17,1008,329.0,2.8,22.2,76.0,0.0,69.2230426385965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
16,1008,329.0,2.8,22.2,76.0,0.0,69.2230426385965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
16,1008,329.0,2.8,22.2,76.0,0.0,69.2230426385965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
17,1008,329.0,2.8,22.2,76.0,0.0,69.2230426385965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
17,1008,329.0,2.8,22.2,76.0,0.0,69.2230426385965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
11,1008,329.0,2.8,22.2,76.0,0.0,69.2230426385965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
11,1008,329.0,2.8,22.2,76.0,0.0,69.2230426385965,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
14,1008,329.0,2.8,22.2,76.0,0.0,69.2230426385965,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
18,1008,329.0,2.8,22.2,76.0,0.0,69.2230426385965,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
10,1008,15.0,4.5,24.4,67.0,0.0,66.84581676116505,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
10,1008,15.0,4.5,24.4,67.0,0.0,66.84581676116505,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
