avg_travel_time,route,intersection_id,tollgate_id,time_window,start_time,date,time,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,wind_direction2,wind_speed2,precipitation2,SSD,SSD_level,is_workday,datemap,A-2,A-3,B-1,B-3,C-1,C-3,hour__0,hour__1,hour__2,hour__3,hour__4,hour__5,hour__6,hour__7,hour__8,hour__9,hour__10,hour__11,hour__12,hour__13,hour__14,hour__15,hour__16,hour__17,hour__18,hour__19,hour__20,hour__21,hour__22,hour__23,minute__0,minute__20,minute__40,weekday__0,weekday__1,weekday__2,weekday__3,weekday__4,weekday__5,weekday__6,workday__1,workday__2,workday__3
44.65,A-2,A,2,"[2016-09-27 00:20:00,2016-09-27 00:40:00)",2016-09-27 00:20:00,2016-09-27,00:20:00,0,20,1,2,1006.9,79.0,2.1,26.2,86.0,0.0,63.47,51.46,65.66,48.91,42.18,58.26,2,2,0,80.40529256170213,3,1,71,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
48.21,A-2,A,2,"[2016-09-27 00:40:00,2016-09-27 01:00:00)",2016-09-27 00:40:00,2016-09-27,00:40:00,0,40,1,3,1006.9,79.0,2.1,26.2,86.0,0.0,44.65,40.41,36.23,65.66,48.91,42.18,2,2,0,80.40529256170213,3,1,71,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
66.62,A-2,A,2,"[2016-09-27 01:00:00,2016-09-27 01:20:00)",2016-09-27 01:00:00,2016-09-27,01:00:00,1,0,1,4,1006.9,79.0,2.1,26.2,86.0,0.0,48.21,44.65,70.9,54.63,65.66,48.91,2,2,0,80.40529256170213,3,1,71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
47.1,A-2,A,2,"[2016-09-27 01:20:00,2016-09-27 01:40:00)",2016-09-27 01:20:00,2016-09-27,01:20:00,1,20,1,5,1006.9,79.0,2.1,26.2,86.0,0.0,66.62,48.21,44.65,56.11,89.86,65.66,2,2,0,80.40529256170213,3,1,71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
43.94,A-2,A,2,"[2016-09-27 01:40:00,2016-09-27 02:00:00)",2016-09-27 01:40:00,2016-09-27,01:40:00,1,40,1,6,1006.9,79.0,2.1,26.2,86.0,0.0,47.1,66.62,48.21,44.65,44.01,44.38,2,2,0,80.40529256170213,3,1,71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
34.16,A-2,A,2,"[2016-09-27 02:20:00,2016-09-27 02:40:00)",2016-09-27 02:20:00,2016-09-27,02:20:00,2,20,1,8,1006.9,79.0,2.1,26.2,86.0,0.0,67.14,43.94,47.1,66.62,48.21,44.65,2,2,0,80.40529256170213,3,1,71,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
38.66,A-2,A,2,"[2016-09-27 03:00:00,2016-09-27 03:20:00)",2016-09-27 03:00:00,2016-09-27,03:00:00,3,0,1,10,1006.3,72.0,3.0,28.5,77.0,0.0,58.27,34.16,66.33,43.94,47.1,66.62,2,2,0,80.76064078787876,3,1,71,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
21.54,A-2,A,2,"[2016-09-27 03:20:00,2016-09-27 03:40:00)",2016-09-27 03:20:00,2016-09-27,03:20:00,3,20,1,11,1006.3,72.0,3.0,28.5,77.0,0.0,38.66,59.96,34.16,54.01,43.94,47.1,2,2,0,80.76064078787876,3,1,71,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
38.86,A-2,A,2,"[2016-09-27 04:00:00,2016-09-27 04:20:00)",2016-09-27 04:00:00,2016-09-27,04:00:00,4,0,1,13,1006.3,72.0,3.0,28.5,77.0,0.0,50.54,21.54,38.66,89.47,34.16,97.48,2,2,0,80.76064078787876,3,1,71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
66.93,A-2,A,2,"[2016-09-27 04:20:00,2016-09-27 04:40:00)",2016-09-27 04:20:00,2016-09-27,04:20:00,4,20,1,14,1006.3,72.0,3.0,28.5,77.0,0.0,38.86,60.76,21.54,38.66,50.41,34.16,2,2,0,80.76064078787876,3,1,71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
